Task ID,Module,Category,Task Name,Description,Priority,Status,Dependencies,API Endpoints,Database Tables,Files Involved,Acceptance Criteria,
BE-002,Backend,Service,Implement Playwright Code Generator,"Create generatePlaywrightCode() function that converts parsed BDD features into executable Playwright test scripts. Map Given/When/Then steps to Playwright actions (navigation, clicks, fills, assertions). Support data-driven tests from Scenario Outlines.",High,Implemented,BE-001,N/A,N/A,src/services/bdd/bdd.service.ts,"Generated code is valid Playwright syntax, handles common step patterns, supports parameterized tests",
BE-003,Backend,Service,Implement Feature Execution Engine,"Create executeFeature() function that: writes feature file to temp directory, injects step definitions (user-defined + step library), runs Playwright/Cucumber via child process, parses output for step results, captures screenshots on failure, stores results in database, generates Serenity report.",High,Implemented,BE-001; BE-002; DB-004,N/A,BDDRun,src/services/bdd/bdd.service.ts,"Feature executes end-to-end, results stored, screenshots captured, report generated",
BE-004,Backend,Service,Implement Concurrency Control,Add concurrency management with MAX_CONCURRENT_RUNS (default 3) and MAX_QUEUED_RUNS (default 20). Track running processes in Map for cancellation support. Return queue status when limits reached.,High,Implemented,BE-003,GET /api/bdd/status,BDDRun,src/services/bdd/bdd.service.ts,"Max 3 concurrent runs enforced, excess requests queued or rejected, status endpoint returns current counts",
BE-005,Backend,Service,Implement Parallel Execution,Support parallel execution with configurable worker count. Split scenarios across workers for faster execution. Track parallel worker count in BDDRun record.,Medium,Implemented,BE-003; DB-007,N/A,BDDRun,src/services/bdd/bdd.service.ts,"Parallel execution distributes scenarios across workers, results aggregated correctly",
BE-006,Backend,Service,Implement SSE Live Streaming,"Create EventEmitter-based SSE (Server-Sent Events) system for real-time test execution feedback. Emit events for: run started, step passed/failed/skipped, run completed, error occurred. Support per-run event streams.",High,Implemented,BE-003,GET /api/bdd/runs/:id/stream,N/A,src/services/bdd/bdd.service.ts,"SSE endpoint streams real-time events, frontend receives live updates, connection cleanup on disconnect",
BE-007,Backend,Service,Implement Run Cancellation,Support cancelling running executions by killing the child process. Remove from active runs map. Update run status to 'cancelled' in database.,Medium,Implemented,BE-003; BE-004,POST /api/bdd/runs/:id/cancel,BDDRun,src/services/bdd/bdd.service.ts,"Running process killed, status updated to cancelled, resources cleaned up",
BE-008,Backend,Service,Implement Step Library CRUD,Create full CRUD operations for reusable step definitions. Steps scoped to user/organization. Track usage count. Support keyword filtering (Given/When/Then). Allow pattern-based matching with regex.,Medium,Implemented,DB-005,GET/POST/PUT/DELETE /api/bdd/step-library,BDDStepLibrary,src/services/bdd/bdd.service.ts,"Step library entries created/read/updated/deleted, org-scoped, usage counted",
BE-009,Backend,Service,Implement Scheduled Runs,"Create cron-based scheduled BDD execution. Support cronExpression, feature association, browser/mode selection, enable/disable toggle. Track lastRunAt and nextRunAt timestamps.",Medium,Implemented,BE-003; DB-006,GET/POST/PUT/DELETE /api/bdd/schedules; POST /api/bdd/schedules/:id/run,BDDSchedule,src/services/bdd/bdd.service.ts,"Schedules created with cron expressions, can be enabled/disabled, manual trigger supported",
BE-010,Backend,Service,Implement Screenplay Pattern Service,"Create ScreenplayService with: Task CRUD (compose from actions/questions), Action CRUD (interaction/navigation/input/wait/custom types), Question CRUD (visibility/text/url/title/attribute/count types). Auto-generate Playwright code from compositions. Generate step definitions for Cucumber injection.",Medium,Implemented,DB-008,N/A,"ScreenplayTask, ScreenplayAction, ScreenplayQuestion",src/services/bdd/screenplay.service.ts,"Tasks composed from actions/questions, code auto-generated, step definitions injectable into feature runs",
BE-011,Backend,Service,Implement Preset Actions Library,"Provide built-in preset actions: Navigate to URL, Click by role/text, Fill by label/placeholder, Select dropdown, Press key, Upload file, Hover element, Check checkbox. Each generates correct Playwright code.",Low,Implemented,BE-010,N/A,N/A,src/services/bdd/screenplay.service.ts,"All preset actions generate valid Playwright code, selectable from UI",
BE-012,Backend,Service,Implement Preset Questions Library,"Provide built-in preset questions: Element visible/hidden, Page title matches, URL contains, Page contains text, Element has text, Element count, Element has attribute. Each generates correct Playwright assertion code.",Low,Implemented,BE-010,N/A,N/A,src/services/bdd/screenplay.service.ts,"All preset questions generate valid Playwright assertions, selectable from UI",
BE-013,Backend,Service,Implement Serenity Report Generator,"Create SerenityReportService that generates beautiful HTML reports with: header with feature/status, narrative section (As a/I want to/So that), summary donut chart, stat cards, execution timeline, scenario details with collapsible cards, step-by-step results with errors and screenshots, feature file syntax highlighting, embedded CSS, responsive design, print support.",High,Implemented,BE-003,N/A,N/A,src/services/bdd/serenityReport.service.ts,"HTML report generated with all sections, syntax highlighting, responsive layout, print-friendly",
BE-014,Backend,Service,Implement Screenshot Management,Save failure screenshots to playwright-crx-reports/bdd-artifacts/. Store screenshot URLs in BDDRun.screenshotUrls JSONB array. Display in reports and frontend.,Medium,Implemented,BE-003; DB-007,N/A,BDDRun,src/services/bdd/bdd.service.ts,"Screenshots captured on step failure, stored in artifacts directory, URLs saved to database",
BE-015,Backend,Controller,Create BDD Feature Controller,"Implement REST controller with methods: createFeature (parse Gherkin + save), getFeatures (list with filters), getFeature (by ID), updateFeature (re-parse + update), deleteFeature. All operations tenant-aware via auth middleware.",High,Implemented,BE-001; DB-001,POST/GET/PUT/DELETE /api/bdd/features,BDDFeature,src/controllers/bdd.controller.ts,"CRUD operations work correctly, auto-parsing on create/update, tenant isolation enforced",
BE-016,Backend,Controller,Create BDD Execution Controller,"Implement execution endpoints: runFeature (with browser/mode/tags/workers options), getRuns (list all), getRun (by ID with step results), cancelRun, deleteRun. Include SSE streaming endpoint.",High,Implemented,BE-003; BE-006; BE-007,POST /api/bdd/features/:id/run; GET /api/bdd/runs; GET /api/bdd/runs/:id; POST /api/bdd/runs/:id/cancel; DELETE /api/bdd/runs/:id; GET /api/bdd/runs/:id/stream,BDDRun,src/controllers/bdd.controller.ts,"Execution triggered via API, runs tracked, SSE streaming works, cancellation supported",
BE-017,Backend,Controller,Create Parse & Generate Endpoints,"Implement: parseFeature (parse Gherkin without saving), generateCode (convert feature to Playwright script). Used by frontend for preview and code generation.",Medium,Implemented,BE-001; BE-002,POST /api/bdd/parse; POST /api/bdd/features/:id/generate,N/A,src/controllers/bdd.controller.ts,"Parsing returns structured feature data, code generation returns valid Playwright script",
BE-018,Backend,Controller,Create Step Library Controller,"Implement CRUD endpoints for step library: getStepLibrary (list with org filter), createStepEntry, updateStepEntry, deleteStepEntry.",Medium,Implemented,BE-008,GET/POST/PUT/DELETE /api/bdd/step-library,BDDStepLibrary,src/controllers/bdd.controller.ts,"Step library CRUD works, org-scoped filtering, usage tracking",
BE-019,Backend,Controller,Create Schedule Controller,"Implement schedule endpoints: getSchedules, createSchedule, updateSchedule, deleteSchedule, runSchedule (manual trigger).",Medium,Implemented,BE-009,GET/POST/PUT/DELETE /api/bdd/schedules; POST /api/bdd/schedules/:id/run,BDDSchedule,src/controllers/bdd.controller.ts,"Schedule CRUD works, cron validation, manual trigger executes feature",
BE-020,Backend,Routes,Define BDD API Routes,"Register all BDD routes under /api/bdd/ prefix with auth middleware (authMiddleware) and optional tenant middleware (optionalTenantMiddleware). Routes: features CRUD, parse, generate, run, runs management, stream, status, step-library, schedules.",High,Implemented,BE-015 to BE-019,All /api/bdd/* endpoints,N/A,src/routes/bdd.routes.ts,"All routes registered, auth enforced, tenant middleware applied",
BE-021,Backend,Routes,Register BDD Routes in App,Import and register BDD routes in main Express app (index.ts). Ensure routes are mounted at /api/bdd prefix.,High,Implemented,BE-020,N/A,N/A,src/index.ts,"BDD routes accessible at /api/bdd/*, authenticated requests work",
BE-022,Backend,Config,Configure Static File Serving,Set up Express static file serving for BDD reports directory (playwright-crx-reports/) so generated Serenity HTML reports are accessible via HTTP.,Medium,Implemented,BE-013,N/A,N/A,src/index.ts,Reports accessible at /playwright-crx-reports/bdd-{runId}/index.html,
BE-023,Backend,Service,Implement Multi-Tenancy for BDD,"Ensure all BDD operations respect organization boundaries. Features, runs, step library, and schedules filtered by organizationId. Concurrent execution limits configurable per organization.",Medium,Implemented,DB-001 to DB-008,N/A,All BDD tables,src/services/bdd/bdd.service.ts; src/middleware/auth.middleware.ts,"Org isolation enforced, cross-org access prevented, per-org concurrency limits respected",
FE-001,Frontend,Component,Create BDDTesting Container Component,"Create main BDDTesting.tsx component with tab-based navigation: Features, Runs, Step Library, Schedules. Manage component state with React useState/useEffect hooks. Handle API calls with Axios.",High,Implemented,None,N/A,N/A,frontend/src/components/BDDTesting.tsx,"Tab navigation works, state management correct, API integration functional",
FE-002,Frontend,Component,Implement Feature Editor Tab,"Create two-panel editor: left panel has Gherkin textarea with monospace font and dark theme, right panel shows parsed scenario tree preview. Include form fields for name, description, tags, project selection. Buttons: Create, Update, Delete, Run.",High,Implemented,FE-001; BE-015,POST/GET/PUT/DELETE /api/bdd/features,N/A,frontend/src/components/BDDTesting.tsx,"Gherkin editor with syntax highlighting, live parse preview, CRUD buttons functional",
FE-003,Frontend,Component,Implement Feature List Display,"Show feature cards in grid layout with: name, description, scenario count, run count, status badge (draft/active/archived), tags. Click to load feature into editor. Support filtering and sorting.",Medium,Implemented,FE-002; BE-015,GET /api/bdd/features,N/A,frontend/src/components/BDDTesting.tsx,"Feature cards display correctly, click loads editor, status badges colored",
FE-004,Frontend,Component,Implement Gherkin Syntax Highlighting,"Apply CSS-based syntax highlighting in editor preview: keywords (Feature/Scenario/Given/When/Then) in bold color, strings in quotes highlighted, tags (@tag) in distinct color, comments in grey.",Medium,Implemented,FE-002,N/A,N/A,frontend/src/components/BDDTesting.tsx; BDDTesting.css,"Keywords, strings, tags visually distinct in preview panel",
FE-005,Frontend,Component,Implement Scenario Tree Visualization,"Display parsed scenarios in tree structure: Feature > Scenario/Scenario Outline > Steps (Given/When/Then/And/But). Show step keyword in bold, step text, data tables, examples data for outlines.",Medium,Implemented,FE-002; BE-017,POST /api/bdd/parse,N/A,frontend/src/components/BDDTesting.tsx,"Scenario tree shows hierarchy, steps display with keywords, data tables rendered",
FE-006,Frontend,Component,Implement Runs Tab,"Display list of BDD execution runs as cards with: feature name, status badge (pending/running/passed/failed/cancelled), duration, step counts (passed/failed/skipped), progress bar, error messages, browser type, execution mode. Buttons: View Report, Cancel (if running), Delete.",High,Implemented,FE-001; BE-016,GET /api/bdd/runs,N/A,frontend/src/components/BDDTesting.tsx,"Run cards show all execution details, progress bars accurate, action buttons work",
FE-007,Frontend,Component,Implement SSE Live Streaming in UI,"Connect to SSE endpoint when a run is executing. Update run card in real-time with: step progress, pass/fail status changes, completion notification. Auto-reconnect on disconnect. Clean up EventSource on component unmount.",High,Implemented,FE-006; BE-006,GET /api/bdd/runs/:id/stream,N/A,frontend/src/components/BDDTesting.tsx,"Live updates appear without refresh, progress updates in real-time, connection cleaned up properly",
FE-008,Frontend,Component,Implement Run Execution Dialog,"Create execution options when clicking Run button: browser selection (chromium/firefox/webkit), execution mode (headless/headed), tag filter, parallel workers count, custom step definitions textarea. Submit triggers feature execution.",High,Implemented,FE-002; BE-016,POST /api/bdd/features/:id/run,N/A,frontend/src/components/BDDTesting.tsx,"Execution options configurable, run triggered with selected options, redirects to Runs tab",
FE-009,Frontend,Component,Implement Step Library Tab,"Display step library entries in list with: pattern regex, keyword badge, description, usage count, tags. Create new step form: pattern input, keyword dropdown, code editor (monospace), description, tags. Edit/Delete actions on each entry.",Medium,Implemented,FE-001; BE-018,GET/POST/PUT/DELETE /api/bdd/step-library,N/A,frontend/src/components/BDDTesting.tsx,"Step library displays entries, create form works, edit/delete functional, usage count shown",
FE-010,Frontend,Component,Implement Schedules Tab,"Display scheduled runs with: feature name, cron expression, browser, next run time, last run time, enabled/disabled toggle. Create schedule form: feature dropdown, cron expression input, browser selection, mode selection. Edit/Delete/Toggle/Manual Run actions.",Medium,Implemented,FE-001; BE-019,GET/POST/PUT/DELETE /api/bdd/schedules,N/A,frontend/src/components/BDDTesting.tsx,"Schedules display correctly, create/edit forms work, toggle enable/disable, manual run triggers execution",
FE-011,Frontend,Component,Implement Report Viewer Integration,Add 'View Report' button on completed runs that opens Serenity HTML report in new tab. Report URL constructed from run ID. Handle cases where report not yet generated.,Medium,Implemented,FE-006; BE-013,N/A,N/A,frontend/src/components/BDDTesting.tsx,"Report opens in new tab, URL correctly formed, loading state shown while report generates",
FE-012,Frontend,Component,Implement Screenshot Display,Show failure screenshots in run details. Display screenshot thumbnails with click-to-enlarge. Support multiple screenshots per run from screenshotUrls array.,Low,Implemented,FE-006; BE-014,N/A,N/A,frontend/src/components/BDDTesting.tsx,"Screenshots display as thumbnails, click enlarges, multiple screenshots supported",
FE-013,Frontend,Styling,Create BDD Component Styles,"Create comprehensive CSS file with: container layout (max-width 1200px), tab navigation styling, editor dark theme (#1e1e2e), feature/run cards with hover effects, status badges with colors, progress bars, step result styling with keyword colors, buttons (primary/success/danger/secondary), empty states, responsive design.",High,Implemented,FE-001 to FE-012,N/A,N/A,frontend/src/components/BDDTesting.css,"All components styled consistently, dark theme editor, responsive layout, hover effects",
FE-014,Frontend,Routing,Add BDD Route to App,Register BDDTesting component in React Router within App.tsx. Add navigation link in sidebar/header. Ensure route is protected by authentication.,Medium,Implemented,FE-001,N/A,N/A,frontend/src/App.tsx,"BDD Testing route accessible from navigation, auth-protected, component renders correctly",
FE-015,Frontend,Types,Define TypeScript Interfaces,"Define TypeScript interfaces: BDDFeature, BDDScenario, BDDStep, BDDRun, StepResult, StepLibEntry, BDDSchedule. Ensure type safety across all API calls and component state.",Medium,Implemented,FE-001,N/A,N/A,frontend/src/components/BDDTesting.tsx,"All interfaces defined, type safety enforced, no TypeScript errors",
FE-016,Frontend,Component,Implement Error Handling & Validation,"Add form validation for feature creation (name required, content required). Display API error messages in UI. Handle network errors gracefully. Show loading states during API calls.",Medium,Implemented,FE-001 to FE-010,N/A,N/A,frontend/src/components/BDDTesting.tsx,"Validation prevents empty submissions, errors displayed to user, loading spinners shown",
INT-001,Integration,Testing,End-to-End Feature Creation Flow,Test complete flow: Create feature with Gherkin content > Parse and preview scenarios > Save to database > Verify feature appears in list > Edit and update > Delete feature.,High,Pending,All BE and FE tasks,Multiple,BDDFeature; BDDScenario; BDDStep,All BDD files,Full CRUD lifecycle works end-to-end without errors,
INT-002,Integration,Testing,End-to-End Execution Flow,Test complete flow: Create feature > Execute with headless chromium > Monitor via SSE streaming > Verify run results > View Serenity report > Check screenshots captured.,High,Pending,All BE and FE tasks,Multiple,BDDRun,All BDD files,"Execution completes, results accurate, report generated, screenshots saved",
INT-003,Integration,Testing,Step Library Integration Flow,Test: Create step library entries > Create feature using library patterns > Execute feature > Verify library steps injected and executed > Check usage count incremented.,Medium,Pending,BE-008; FE-009,Multiple,BDDStepLibrary; BDDRun,All BDD files,"Library steps injected into execution, usage count updated",
INT-004,Integration,Testing,Screenplay Pattern Integration,Test: Create tasks with actions/questions > Generate step definitions > Use in Gherkin feature > Execute > Verify Screenplay steps execute correctly > Check Serenity report shows task breakdown.,Medium,Pending,BE-010 to BE-012,Multiple,Screenplay tables; BDDRun,All BDD files,"Screenplay tasks compose correctly, step definitions generated, execution works",
INT-005,Integration,Testing,Concurrent Execution Test,Test: Trigger multiple feature runs simultaneously > Verify MAX_CONCURRENT_RUNS limit enforced > Check queued runs execute after active ones complete > Test cancellation of running/queued runs.,Medium,Pending,BE-004; BE-007,Multiple,BDDRun,All BDD files,"Concurrency limits enforced, queue works, cancellation cleans up",
INT-006,Integration,Testing,Scheduled Execution Test,Test: Create schedule with cron expression > Enable schedule > Verify nextRunAt calculated > Manually trigger > Check lastRunAt updated > Disable schedule > Verify no more runs.,Low,Pending,BE-009; FE-010,Multiple,BDDSchedule; BDDRun,All BDD files,"Schedules execute at correct times, enable/disable works, timestamps updated",
